entrez_gene_id,hgnc_id,hgnc_symbol,hgnc_name,group,family,subfamily,krsa_id,uka_id,ptmsea_id,kea3_id
30811,HGNC:13326,HUNK,hormonally up-regulated Neu-associated kinase,CAMK,CAMKL,HUNK,CAMK,NA,NA,HUNK
8997,HGNC:4814,KALRN,kalirin RhoGEF kinase,CAMK,TRIO,NA,NA,TRAD,NA,KALRN
9261,HGNC:6887,MAPKAPK2,MAPK activated protein kinase 2,CAMK,MAPKAPK,MAPKAPK,MAPKAPK,MAPKAPK2,MAPKAPK2,MAPKAPK2
7867,HGNC:6888,MAPKAPK3,MAPK activated protein kinase 3,CAMK,MAPKAPK,MAPKAPK,MAPKAPK,MAPKAPK3,NA,MAPKAPK3
8550,HGNC:6889,MAPKAPK5,MAPK activated protein kinase 5,CAMK,MAPKAPK,MAPKAPK,MAPKAPK,MAPKAPK5,MAPKAPK5,MAPKAPK5
4139,HGNC:6896,MARK1,microtubule affinity regulating kinase 1,CAMK,CAMKL,MARK,NA,MARK1,MARK1,MARK1
2011,HGNC:3332,MARK2,microtubule affinity regulating kinase 2,CAMK,CAMKL,MARK,NA,MARK2,MARK2,MARK2
4140,HGNC:6897,MARK3,microtubule affinity regulating kinase 3,CAMK,CAMKL,MARK,NA,MARK3,MARK3,MARK3
57787,HGNC:13538,MARK4,microtubule affinity regulating kinase 4,CAMK,CAMKL,MARK,NA,MARK4,NA,MARK4
9833,HGNC:16870,MELK,maternal embryonic leucine zipper kinase,CAMK,CAMKL,MELK,MELK,MELK,MELK,MELK
8569,HGNC:7110,MKNK1,MAPK interacting serine/threonine kinase 1,CAMK,MAPKAPK,MNK,MAPKAPK,MNK1,NA,MKNK1
2872,HGNC:7111,MKNK2,MAPK interacting serine/threonine kinase 2,CAMK,MAPKAPK,MNK,MAPKAPK,MNK2,NA,MKNK2
4638,HGNC:7590,MYLK,myosin light chain kinase,CAMK,MLCK,NA,MLCK,NA,NA,MYLK
85366,HGNC:16243,MYLK2,myosin light chain kinase 2,CAMK,MLCK,NA,MLCK,NA,NA,MYLK2
91807,HGNC:29826,MYLK3,myosin light chain kinase 3,CAMK,MLCK,NA,NA,NA,NA,MYLK3
340156,HGNC:27972,MYLK4,myosin light chain kinase family member 4,CAMK,MLCK,NA,NA,NA,NA,MYLK4
167359,HGNC:28646,NIM1K,NIM1 serine/threonine protein kinase,CAMK,CAMKL,NIM1,NA,NA,NA,NIM1K
9891,HGNC:14311,NUAK1,NUAK family kinase 1,CAMK,CAMKL,NUAK,NUAK,NUAK1,NA,NUAK1
81788,HGNC:29558,NUAK2,NUAK family kinase 2,CAMK,CAMKL,NUAK,NUAK,NUAK2,NA,NUAK2
84033,HGNC:15719,OBSCN,"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF",CAMK,TRIO,NA,NA,NA,NA,OBSCN
23178,HGNC:17270,PASK,PAS domain containing serine/threonine kinase,CAMK,CAMKL,PASK,PASK,PASK,NA,PASK
5260,HGNC:8930,PHKG1,phosphorylase kinase catalytic subunit gamma 1,CAMK,PHK,NA,PHK,PHK[GAMMA]1,NA,PHKG1
5261,HGNC:8931,PHKG2,phosphorylase kinase catalytic subunit gamma 2,CAMK,PHK,NA,PHK,PHK[GAMMA]2,NA,PHKG2
5292,HGNC:8986,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase",CAMK,PIM,NA,PIM,PIM1,PIM1/PIM1,PIM1
11040,HGNC:8987,PIM2,"Pim-2 proto-oncogene, serine/threonine kinase",CAMK,PIM,NA,PIM,PIM2,NA,PIM2
415116,HGNC:19310,PIM3,"Pim-3 proto-oncogene, serine/threonine kinase",CAMK,PIM,NA,PIM,PIM3,NA,PIM3
139728,HGNC:13415,PNCK,pregnancy up-regulated nonubiquitous CaM kinase,CAMK,CAMK1,NA,CAMK1,NA,NA,PNCK
5562,HGNC:9376,PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1,CAMK,CAMKL,AMPK,AMPK,AMPK[ALPHA]1,NA,PRKAA1
5563,HGNC:9377,PRKAA2,protein kinase AMP-activated catalytic subunit alpha 2,CAMK,CAMKL,AMPK,AMPK,AMPK[ALPHA]2,NA,PRKAA2
5587,HGNC:9407,PRKD1,protein kinase D1,CAMK,PKD,NA,PKD,PKD1,PRKD1,PRKD1
25865,HGNC:17293,PRKD2,protein kinase D2,CAMK,PKD,NA,PKD,PKD2,PRKD2,PRKD2
23683,HGNC:9408,PRKD3,protein kinase D3,CAMK,PKD,NA,PKD,PKD3,NA,PRKD3
5681,HGNC:9529,PSKH1,protein serine kinase H1,CAMK,PSK,NA,NA,NA,NA,PSKH1
85481,HGNC:18997,PSKH2,protein serine kinase H2,CAMK,PSK,NA,NA,PSKH2,NA,PSKH2
150094,HGNC:11142,SIK1,salt inducible kinase 1,CAMK,CAMKL,QIK,QIK,MSK1,QIK/SIK2,SIK1
23235,HGNC:21680,SIK2,salt inducible kinase 2,CAMK,CAMKL,QIK,QIK,NA,NA,SIK2
23387,HGNC:29165,SIK3,SIK family kinase 3,CAMK,CAMKL,QIK,NA,NA,NA,SIK3
54861,HGNC:30598,SNRK,SNF related kinase,CAMK,CAMKL,SNRK,NA,NA,NA,SNRK
6794,HGNC:11389,STK11,serine/threonine kinase 11,CAMK,CAMKL,LKB,LKB,LKB1,NA,STK11
9263,HGNC:11395,STK17A,serine/threonine kinase 17a,CAMK,DAPK,DRAK,DAPK,DRAK1,NA,STK17A
9262,HGNC:11396,STK17B,serine/threonine kinase 17b,CAMK,DAPK,DRAK,DAPK,DRAK2,NA,STK17B
65975,HGNC:14568,STK33,serine/threonine kinase 33,CAMK,CAMK-UNIQUE,NA,NA,STK33,NA,STK33
83931,HGNC:21373,STK40,serine/threonine kinase 40,CAMK,SGK495,NA,NA,NA,NA,STK40
10221,HGNC:16891,TRIB1,tribbles pseudokinase 1,CAMK,TRBL,NA,NA,NA,NA,TRIB1
28951,HGNC:30809,TRIB2,tribbles pseudokinase 2,CAMK,TRBL,NA,NA,NA,NA,TRIB2
57761,HGNC:16228,TRIB3,tribbles pseudokinase 3,CAMK,TRBL,NA,NA,NA,NA,TRIB3
7204,HGNC:12303,TRIO,trio Rho guanine nucleotide exchange factor,CAMK,TRIO,NA,NA,TRIO,NA,TRIO
83942,HGNC:14968,TSSK1B,testis specific serine kinase 1B,CAMK,TSSK,NA,NA,NA,NA,TSSK1B
23617,HGNC:11401,TSSK2,testis specific serine kinase 2,CAMK,TSSK,NA,NA,TSSK2,NA,TSSK2
81629,HGNC:15473,TSSK3,testis specific serine kinase 3,CAMK,TSSK,NA,NA,TSSK3,NA,TSSK3
283629,HGNC:19825,TSSK4,testis specific serine kinase 4,CAMK,TSSK,NA,NA,TSSK4,NA,TSSK4
83983,HGNC:30410,TSSK6,testis specific serine kinase 6,CAMK,TSSK,NA,NA,SSTK,NA,TSSK6
7273,HGNC:12403,TTN,titin,CAMK,MLCK,NA,MLCK,TTN,NA,TTN
